Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/1/2000,20,29,24.1,69,82,5.4,3,180,2,S
2/1/2000,20,28.4,22.9,77,0,1.2,6,90,4,E
3/1/2000,20,27.5,23.8,78,14,4.1,4,180,3,S
4/1/2000,22,28.5,24.2,77,10,1.3,3,225,2,E
5/1/2000,23,27,23.4,78,8888,3.6,10,180,4,S
6/1/2000,22,28.1,24,80,2,4.6,5,180,3,S
7/1/2000,20,26.8,22.9,80,4,3,4,225,3,S
8/1/2000,21,26.6,23.3,76,0,0,3,180,2,S
9/1/2000,20,27.8,23,74,2,4.1,5,180,3,S
10/1/2000,21,27,22.9,73,4,4.9,4,180,,S
11/1/2000,20,25.7,22.7,74,8888,0,5,225,3,S
12/1/2000,20,27.6,23,72,8888,4,5,180,3,S
13-01-2000,19,27.8,23.3,73,3,5.3,4,225,2,SE
14-01-2000,19,29,23.7,71,8888,7.9,4,135,2,S
15-01-2000,19,28.7,24.2,79,0,5.8,8,90,3,S
16-01-2000,19,28.3,23.6,79,0,5.7,3,180,2,S
17-01-2000,21,28,22.3,83,8,3.8,6,90,2,S
18-01-2000,20,26.9,23,82,20,2.9,4,180,3,S
19-01-2000,20,26.8,22.7,80,0,0.5,6,45,3,NE
20-01-2000,20,27.4,24.1,76,33,1.5,4,90,3,S
21-01-2000,20,27.4,23.3,59,19,3.3,6,90,2,S
22-01-2000,20,27.7,24.4,73,1,1.4,10,90,4,E
23-01-2000,20,28.1,24.2,78,4,1.5,4,90,3,E
24-01-2000,22,27.3,24.8,79,10,0,4,90,3,SE
25-01-2000,22,29.4,24.9,77,6,4.9,4,180,3,S
26-01-2000,22,26.1,23.8,74,5,1.3,5,180,3,S
27-01-2000,22,28,24.4,74,4,0.4,3,180,3,S
28-01-2000,21,27.7,25.1,79,45,1,5,225,2,SW
29-01-2000,22,25.2,23.2,78,1,0,2,180,2,SW
30-01-2000,21,25.7,22.4,94,17,1.8,5,135,2,S
31-01-2000,20,28,23,82,10,2.4,0,,,S
1/2/2000,20,25,22.5,69,8888,0,3,180,2,S
2/2/2000,20,26.1,22.6,77,8,0,6,90,4,E
3/2/2000,21,27.8,23.9,78,8888,0.7,4,180,3,S
4/2/2000,22,25.4,23.7,77,7,0.5,3,225,2,E
5/2/2000,22,27,23.7,78,4,0.6,10,180,4,S
6/2/2000,21,26.8,23.1,80,0,1.8,5,180,3,S
7/2/2000,21,25.6,22.7,80,6,0,4,225,3,S
8/2/2000,21,27.2,23.3,76,15,1.2,3,180,2,S
9/2/2000,21,28.8,23.8,74,10,1.4,5,180,3,S
10/2/2000,22,28,24.8,73,19,3.8,4,180,,S
11/2/2000,22,29.1,25.6,74,0,2.6,5,225,3,S
12/2/2000,22,29.1,23.6,72,0,3.4,5,180,3,S
13-02-2000,21,26.6,23.8,73,14,0,4,225,2,SE
14-02-2000,21,28.6,22.5,71,0,3.4,4,135,2,S
15-02-2000,20,28.8,23.7,79,6,0,8,90,3,S
16-02-2000,20,29.3,23.8,79,0,5.2,3,180,2,S
17-02-2000,19,29,24.3,83,4,5.6,6,90,2,S
18-02-2000,22,27.1,23.5,82,1,0.8,4,180,3,S
19-02-2000,20,28.9,23.1,80,4,4.8,6,45,3,NE
20-02-2000,20,28.3,23,76,15,4.3,4,90,3,S
21-02-2000,20,27.8,24.2,59,32,4.7,6,90,2,S
22-02-2000,20,28.9,23.8,73,0,5.7,10,90,4,E
23-02-2000,20,28.1,23.4,78,35,2.2,4,90,3,E
24-02-2000,20,26.2,22.5,79,8888,2.2,4,90,3,SE
25-02-2000,21,26.1,22.7,77,30,1.2,4,180,3,S
26-02-2000,21,27.5,23.2,74,14,2.1,5,180,3,S
27-02-2000,21,28.4,23.8,74,8,2.4,3,180,3,S
28-02-2000,21,27.7,24.5,79,0,1.8,5,225,2,SW
29-02-2000,21,28.7,24.9,78,0,2.1,2,180,2,SW
1/3/2000,22,28.8,24.2,80,3,5.4,4,270,0,N
2/3/2000,23,28.9,24.8,70,2,4.3,8,270,3,W
3/3/2000,23,28.6,25.1,73,0,3.5,8,270,4,W
4/3/2000,21,28.2,23.4,77,17,1.1,7,270,4,W
5/3/2000,20,29.6,24.3,76,1,0.7,12,270,3,N
6/3/2000,21,29.1,24.4,73,1,3.8,3,90,0,N
7/3/2000,20,28.9,23.7,88,2,5.2,5,315,0,N
8/3/2000,21,28.4,24.5,73,0,6.6,4,90,0,N
9/3/2000,22,27.3,23.6,79,0,1,10,90,5,E
10/3/2000,21,27.6,23.4,85,0,0,7,45,0,N
11/3/2000,21,28.2,23.6,82,0,0,3,360,0,N
12/3/2000,22,27.2,23.2,82,8888,0,3,135,0,N
13-03-2000,21,28.6,23.3,77,21,4.5,2,270,0,N
14-03-2000,21,28.6,23.7,78,41,3.2,4,135,0,N
15-03-2000,21,27.6,23.2,82,1,0.6,5,270,0,N
16-03-2000,21,28.7,23.9,78,5,4.7,5,270,2,E
17-03-2000,21,29.2,24.8,73,1,6.9,5,270,0,N
18-03-2000,21,29.5,23.2,79,0,4.7,3,180,3,W
19-03-2000,22,28.6,23.5,85,13,2.2,4,180,0,N
20-03-2000,21,28.5,23.8,78,28,5.9,7,90,0,N
